Model,ROUGE-1,ROUGE-2,ROUGE-L,Inference Time,TOPSIS Score
t5-base,0.6470588235294118,0.6363636363636364,0.6470588235294118,1.621168851852417,0.6707605443425786
facebook/bart-large-cnn,0.6060606060606061,0.5625,0.6060606060606061,1.4575371742248535,0.6364992502347048
t5-small,0.626865671641791,0.5538461538461539,0.626865671641791,0.7715733051300049,0.6140885309745674
google/pegasus-xsum,0.1764705882352941,0.030303030303030304,0.1176470588235294,6.559635877609253,0.36602540378443865
